rank_sales;game_name;publisher;developer;platform;platform_name;global_sales;game_genre;meta_critic_score;meta_user_score;release_day;release_month;release_year
550;The Lord of the Rings: The Return of the King;Electronic Arts;Hypnos Entertainment, Inc.;GC;Xbox		;690000.0;Action;84;8.1;5;11;2003
97;The Lord of the Rings: The Return of the King;Electronic Arts;Hypnos Entertainment, Inc.;PS2;GameCube		;3280000.0;Action;84;8.2;5;11;2003
344;The Lord of the Rings: The Return of the King;Electronic Arts;Hypnos Entertainment, Inc.;XB;GameCube		;1140000.0;Action;84;8.2;5;11;2003
550;The Lord of the Rings: The Return of the King;Electronic Arts;Hypnos Entertainment, Inc.;GC;GameCube		;690000.0;Action;84;8.2;5;11;2003
98;True Crime: Streets of LA;Activision;Luxoflux;PS2;PlayStation 2;3270000.0;Action;77;7.8;3;11;2003
275;True Crime: Streets of LA;Activision;Luxoflux;XB;PlayStation 2;1380000.0;Action;77;7.8;3;11;2003
656;True Crime: Streets of LA;Activision;EXAKT Entertainment;GC;PlayStation 2;560000.0;Action;77;7.8;3;11;2003
98;True Crime: Streets of LA;Activision;Luxoflux;PS2;Xbox		;3270000.0;Action;77;8.0;3;11;2003
275;True Crime: Streets of LA;Activision;Luxoflux;XB;Xbox		;1380000.0;Action;77;8.0;3;11;2003
656;True Crime: Streets of LA;Activision;EXAKT Entertainment;GC;Xbox		;560000.0;Action;77;8.0;3;11;2003
101;Enter the Matrix;Atari;Shiny Entertainment;PS2;PlayStation 2;3180000.0;Action;62;8.2;14;5;2003
319;Enter the Matrix;Atari;Shiny Entertainment;XB;PlayStation 2;1200000.0;Action;62;8.2;14;5;2003
794;Enter the Matrix;Atari;Shiny Entertainment;GC;PlayStation 2;450000.0;Action;62;8.2;14;5;2003
120;Enter the Matrix;Atari;Shiny Entertainment;All;PlayStation 2;;Action-Adventure;62;8.2;14;5;2003
101;Enter the Matrix;Atari;Shiny Entertainment;PS2;Xbox		;3180000.0;Action;65;7.2;14;5;2003
319;Enter the Matrix;Atari;Shiny Entertainment;XB;Xbox		;1200000.0;Action;65;7.2;14;5;2003
794;Enter the Matrix;Atari;Shiny Entertainment;GC;Xbox		;450000.0;Action;65;7.2;14;5;2003
120;Enter the Matrix;Atari;Shiny Entertainment;All;Xbox		;;Action-Adventure;65;7.2;14;5;2003
102;Spider-Man;Activision;Neversoft Entertainment;PS;PlayStation		;3130000.0;Action;87;8.7;30;8;2000
103;Resident Evil 6;Capcom;Capcom;PS3;PlayStation 3;3120000.0;Action;74;5.7;2;10;2012
179;Resident Evil 6;Capcom;Capcom;X360;PlayStation 3;1970000.0;Action;74;5.7;2;10;2012
103;Resident Evil 6;Capcom;Capcom;PS3;Xbox 360;3120000.0;Action;67;5.2;2;10;2012
179;Resident Evil 6;Capcom;Capcom;X360;Xbox 360;1970000.0;Action;67;5.2;2;10;2012
104;Saints Row 2;THQ;Volition Inc.;X360;Xbox 360;3070000.0;Action;81;8.2;14;10;2008
221;Saints Row 2;THQ;Volition Inc.;PS3;Xbox 360;1680000.0;Action;81;8.2;14;10;2008
157;Saints Row 2;THQ;Volition;All;Xbox 360;;Action-Adventure;81;8.2;14;10;2008
104;Saints Row 2;THQ;Volition Inc.;X360;PlayStation 3;3070000.0;Action;82;8.1;14;10;2008
221;Saints Row 2;THQ;Volition Inc.;PS3;PlayStation 3;1680000.0;Action;82;8.1;14;10;2008
157;Saints Row 2;THQ;Volition;All;PlayStation 3;;Action-Adventure;82;8.1;14;10;2008
107;Tom Clancy's Splinter Cell;Ubisoft;Ubisoft;XB;Xbox		;3020000.0;Action;93;8.6;17;11;2002
16;Tom Clancy's Splinter Cell;Ubisoft;Ubisoft;Series;Xbox		;;Action-Adventure;93;8.6;17;11;2002
106;Tom Clancy's Splinter Cell;Ubisoft;Ubisoft;All;Xbox		;;Action-Adventure;93;8.6;17;11;2002
115;Hitman 2: Silent Assassin;Eidos Interactive;IO Interactive;PS2;PlayStation 2;2960000.0;Action;85;8.0;1;10;2002
147;Hitman 2: Silent Assassin;Eidos Interactive;IO Interactive;All;PlayStation 2;;Action-Adventure;85;8.0;1;10;2002
122;Star Wars: The Force Unleashed;LucasArts;LucasArts;X360;Xbox 360;2770000.0;Action;73;6.8;16;9;2008
159;Star Wars: The Force Unleashed;LucasArts;LucasArts;PS3;Xbox 360;2220000.0;Action;73;6.8;16;9;2008
187;Star Wars: The Force Unleashed;LucasArts;Krome Studios;Wii;Xbox 360;1860000.0;Action;73;6.8;16;9;2008
300;Star Wars: The Force Unleashed;LucasArts;Krome Studios;PS2;Xbox 360;1250000.0;Action;73;6.8;16;9;2008
361;Star Wars: The Force Unleashed;LucasArts;Krome Studios;PSP;Xbox 360;1090000.0;Action;73;6.8;16;9;2008
443;Star Wars: The Force Unleashed;LucasArts;n-Space;DS;Xbox 360;880000.0;Action;73;6.8;16;9;2008
96;Star Wars: The Force Unleashed;LucasArts;LucasArts;All;Xbox 360;;Action-Adventure;73;6.8;16;9;2008
122;Star Wars: The Force Unleashed;LucasArts;LucasArts;X360;PlayStation 3;2770000.0;Action;71;6.8;16;9;2008
159;Star Wars: The Force Unleashed;LucasArts;LucasArts;PS3;PlayStation 3;2220000.0;Action;71;6.8;16;9;2008
187;Star Wars: The Force Unleashed;LucasArts;Krome Studios;Wii;PlayStation 3;1860000.0;Action;71;6.8;16;9;2008
300;Star Wars: The Force Unleashed;LucasArts;Krome Studios;PS2;PlayStation 3;1250000.0;Action;71;6.8;16;9;2008
361;Star Wars: The Force Unleashed;LucasArts;Krome Studios;PSP;PlayStation 3;1090000.0;Action;71;6.8;16;9;2008
443;Star Wars: The Force Unleashed;LucasArts;n-Space;DS;PlayStation 3;880000.0;Action;71;6.8;16;9;2008
96;Star Wars: The Force Unleashed;LucasArts;LucasArts;All;PlayStation 3;;Action-Adventure;71;6.8;16;9;2008
