meta_game_name;meta_platform;meta_critic_score;meta_user_score;meta_genre;meta_multiplayer;release_month;release_day;release_year
Lara Croft Tomb Raider: The Angel of Darkness;PlayStation 2;52;6.4;Action Adventure;0;6; 20;2003
Tom Clancy's Splinter Cell Pandora Tomorrow;PlayStation 2;87;8.2;Action Adventure;1;6; 16;2004
Prototype;PlayStation 3;79;7.5;Action Adventure;0;6;  9;2009
Ben 10: Protector of Earth;Wii		;63;7.5;Action;0;10; 30;2007
Bayonetta;PlayStation 3;87;7.7;Action;0;1;  5;2010
The Lord of the Rings: The Fellowship of the Ring;PlayStation 2;59;4.7;Action Adventure;0;10; 16;2002
Enter the Matrix;Xbox		;65;7.2;Action;0;5; 14;2003
Metal Gear Solid: Portable Ops;PSP		;87;8.1;Action Adventure;1;12;  5;2006
Hitman 2: Silent Assassin;Xbox		;84;7.1;Action Adventure;0;9; 30;2002
Spider-Man: The Movie;GameCube		;76;7.5;Action;0;4; 15;2002
LEGO Dimensions;PlayStation 4;80;7.2;Action Adventure;1;9; 27;2015
LEGO Star Wars III: The Clone Wars;PlayStation 3;76;7.6;Action Adventure;0;3; 22;2011
LEGO Jurassic World;PlayStation 4;70;7.1;Action Adventure;0;6;  9;2015
Gauntlet: Dark Legacy;PlayStation 2;73;8.3;Action;1;5;  1;2001
Middle-earth: Shadow of War;Xbox One;81;4.5;Action Adventure;1;10; 10;2017
Tenchu: Wrath of Heaven;PlayStation 2;79;8.6;Action Adventure;1;3;  3;2003
The Lord of the Rings: The Return of the King;Xbox		;84;8.1;Action;1;11;  5;2003
Spider-Man 2;Xbox		;83;8.4;Action Adventure;0;6; 28;2004
Transformers: The Game;PlayStation 2;56;6.6;Action Adventure;0;6; 26;2007
LEGO Marvel Super Heroes 2;PlayStation 4;73;6.9;Action;0;11; 14;2017
Castlevania: Lords of Shadow;PlayStation 3;85;8.0;Action Adventure;0;10;  5;2010
Tom Clancy's Splinter Cell Chaos Theory;Xbox		;94;9.1;Action Adventure;1;3; 28;2005
Bully: Scholarship Edition;Xbox 360;80;8.3;Action Adventure;0;3;  4;2008
Star Wars: The Force Unleashed;PSP		;70;7.9;Action;1;9; 16;2008
The Godfather;PlayStation 2;75;8.5;Action Adventure;0;3; 21;2006
Dante's Inferno;PlayStation 3;75;7.6;Action;0;2;  9;2010
Lego Star Wars II: The Original Trilogy;DS		;47;5.1;Action Adventure;0;9; 12;2006
Hulk;PlayStation 2;71;7.8;Action;0;5; 27;2003
Darksiders;Xbox 360;83;7.9;Action Adventure;0;1;  5;2010
LEGO Marvel Super Heroes: Universe in Peril;3DS;56;5.2;Action Adventure;0;10; 22;2013
The Evil Within 2;PlayStation 4;76;8.2;Action Adventure;0;10; 13;2017
Disney Universe;Wii		;61;6.6;Action Adventure;0;10; 25;2011
LEGO Pirates of the Caribbean: The Video Game;Xbox 360;73;7.3;Action Adventure;0;5; 10;2011
Guinness World Records: The Videogame;Wii		;67;7.0;Action;0;11; 11;2008
Assassin's Creed Rogue;Xbox 360;72;7.3;Action Adventure;0;11; 11;2014
LEGO Marvel's Avengers;PlayStation 4;71;7.1;Action Adventure;0;1; 26;2016
LEGO Harry Potter: Years 5-7;Xbox 360;77;7.9;Action Adventure;0;11; 11;2011
Dynasty Warriors 3: Xtreme Legends;PlayStation 2;72;8.5;Action;1;1; 11;2003
The Bouncer;PlayStation 2;66;7.7;Action;1;3;  5;2001
Brutal Legend;Xbox 360;82;8.0;Action;1;10; 13;2009
Grand Theft Auto: Vice City Stories;PlayStation 2;75;7.8;Action Adventure;0;3;  5;2007
Grand Theft Auto: San Andreas;PC;93;8.9;Action Adventure;0;6;  7;2005
Lego Star Wars II: The Original Trilogy;GameCube		;84;8.7;Action Adventure;1;9; 12;2006
LEGO Pirates of the Caribbean: The Video Game;PlayStation 3;73;7.4;Action Adventure;0;5; 10;2011
Shinobi;PlayStation 2;71;8.2;Action;0;11; 10;2002
LEGO Harry Potter: Years 5-7;PlayStation 3;76;8.0;Action Adventure;0;11; 11;2011
LEGO Batman 3: Beyond Gotham;PlayStation 4;73;7.0;Action Adventure;0;11; 11;2014
Brutal Legend;PlayStation 3;83;7.7;Action;1;10; 13;2009
Castlevania: Lament of Innocence;PlayStation 2;79;8.6;Action Adventure;0;10; 21;2003
Bayonetta;Xbox 360;90;8.1;Action;0;1;  5;2010
Teenage Mutant Ninja Turtles;Game Boy Advance		;71;8.1;Action;0;10; 31;2003
Teenage Mutant Ninja Turtles;PlayStation 2;59;7.5;Action;1;10; 21;2003
Dante's Inferno;Xbox 360;73;7.6;Action;0;2;  9;2010
SpongeBob Squarepants: The Yellow Avenger;PSP		;48;5.3;Action;1;3;  6;2006
Dynasty Warriors 7;PlayStation 3;57;7.3;Action;1;3; 29;2011
LEGO Pirates of the Caribbean: The Video Game;DS		;69;7.8;Action Adventure;0;5; 10;2011
James Cameron's Avatar: The Game;PlayStation 3;60;6.8;Action;1;12;  1;2009
God of War III Remastered;PlayStation 4;81;8.3;Action Adventure;0;7; 14;2015
Finding Nemo;GameCube		;62;5.4;Action;0;5; 12;2003
Resident Evil: Revelations;3DS;82;8.5;Action Adventure;1;2;  7;2012
Fortnite;PlayStation 4;78;3.9;Action;1;7; 21;2017
Star Wars: The Force Unleashed;DS		;61;5.5;Action;1;9; 16;2008
Grand Theft Auto IV;PC;90;7.0;Action Adventure;0;12;  2;2008
Warriors Orochi;PlayStation 2;55;8.4;Action;1;9; 18;2007
Ghostbusters: The Video Game;Wii		;76;8.3;Action;0;6; 16;2009
For Honor;Xbox One;79;5.9;Action Adventure;1;2; 14;2017
Dishonored 2;Xbox One;88;8.2;Action Adventure;0;11; 10;2016
Dynasty Warriors 4: Xtreme Legends;PlayStation 2;72;8.3;Action;1;11;  4;2003
Tomb Raider: Anniversary;Wii		;73;7.5;Action Adventure;0;11; 13;2007
Ninja Gaiden Sigma 2;PlayStation 3;83;7.7;Action Adventure;1;9; 29;2009
Ghostbusters: The Video Game;PlayStation 3;78;8.0;Action;1;6; 16;2009
Spider-Man 2;GameCube		;80;8.4;Action Adventure;0;6; 28;2004
The Incredibles;GameCube		;63;6.3;Action Adventure;0;10; 31;2004
Dynasty Warriors 2;PlayStation 2;75;8.4;Action;0;10; 25;2000
Lizzie McGuire 2: Lizzie Diaries;Game Boy Advance		;57;5.0;Action Adventure;1;10; 18;2004
DmC: Devil May Cry;PlayStation 3;85;5.6;Action;0;1; 15;2013
Ben 10: Alien Force;Wii		;45;7.8;Action;0;10; 28;2008
Star Wars The Clone Wars: Republic Heroes;Wii		;48;5.8;Action Adventure;0;10;  6;2009
Prototype 2;Xbox 360;74;7.0;Action Adventure;0;4; 24;2012
MadWorld;Wii		;81;8.6;Action;1;3; 10;2009
LEGO Jurassic World;Xbox One;70;6.8;Action Adventure;0;6; 12;2015
Tom Clancy's Splinter Cell Double Agent;Xbox 360;85;8.1;Action Adventure;1;10; 17;2006
Star Wars The Clone Wars: Jedi Alliance;DS		;68;7.7;Action Adventure;0;11; 11;2008
Prototype 2;PlayStation 3;79;6.8;Action Adventure;0;4; 24;2012
James Cameron's Avatar: The Game;Xbox 360;61;6.8;Action;1;12;  1;2009
Fortnite;Xbox One;85;3.7;Action;1;7; 21;2017
Star Wars Episode II: Attack of the Clones;Game Boy Advance		;38;3.4;Action Adventure;0;5; 30;2002
LEGO Marvel Super Heroes;Wii U;82;8.0;Action Adventure;0;10; 22;2013
Resident Evil: Revelations;PlayStation 3;74;7.5;Action Adventure;1;5; 21;2013
True Crime: New York City;PlayStation 2;60;7.7;Action Adventure;0;11; 15;2005
Genji: Days of the Blade;PlayStation 3;55;6.1;Action Adventure;0;11; 14;2006
Shark Tale;PlayStation 2;69;6.1;Action;0;9; 27;2004
The Lord of the Rings: Conquest;PlayStation 3;54;7.1;Action Adventure;1;1; 13;2009
Ace Combat: Assault Horizon;PlayStation 3;77;6.8;Action;1;10; 11;2011
Disney Pirates of the Caribbean: At World's End;PlayStation 3;55;7.0;Action Adventure;1;5; 22;2007
Star Wars Episode III: Revenge of the Sith;Game Boy Advance		;73;8.0;Action Adventure;1;5;  4;2005
Ultimate Spider-Man;PlayStation 2;74;8.2;Action;0;9; 22;2005
LEGO Dimensions;Xbox One;80;7.1;Action Adventure;0;9; 27;2015
James Cameron's Avatar: The Game;Wii		;60;4.0;Action;0;12;  1;2009
The Lord of the Rings: The Two Towers;Xbox		;79;8.2;Action;0;12; 30;2002
Scooby-Doo 2: Monsters Unleashed;Game Boy Advance		;46;tbd;Action;0;3; 16;2004
Power Rangers: Dino Thunder;PlayStation 2;49;6.6;Action Adventure;0;9; 14;2004
Dynasty Warriors 6;PlayStation 3;59;7.1;Action;0;2; 19;2008
Spider-Man 2;PSP		;67;6.4;Action Adventure;0;3; 23;2005
Star Wars: Obi-Wan;Xbox		;58;5.8;Action Adventure;1;12; 19;2001
F-14 Tomcat;Game Boy Advance		;67;8.0;Action;1;9;  2;2001
James Bond 007: Blood Stone;PlayStation 3;65;7.4;Action;1;11;  2;2010
Transformers: Revenge of the Fallen;PlayStation 3;63;6.9;Action;1;6; 23;2009
Mafia;PlayStation 2;65;8.3;Action Adventure;0;1; 28;2004
Metal Gear Solid: Portable Ops Plus;PSP		;65;7.5;Action Adventure;1;11; 13;2007
Mortal Kombat: Shaolin Monks;PlayStation 2;77;8.8;Action;1;9; 16;2005
Prince of Persia: The Forgotten Sands;PlayStation 3;75;7.4;Action Adventure;0;5; 18;2010
The Lord of the Rings: The Return of the King;GameCube		;84;8.2;Action;1;11;  5;2003
DreamWorks Shrek the Third;Xbox 360;56;4.6;Action;0;5; 15;2007
Shark Tale;Game Boy Advance		;63;7.8;Action;0;9; 27;2004
Iron Man;PlayStation 3;42;6.0;Action;0;5;  2;2008
LEGO Harry Potter: Years 5-7;DS		;69;6.5;Action Adventure;0;11; 11;2011
LEGO Marvel Super Heroes 2;Switch;76;7.1;Action;0;11; 14;2017
Bakugan Battle Brawlers;Wii		;62;8.0;Action;0;10; 20;2009
Castlevania: Lords of Shadow;Xbox 360;83;7.9;Action Adventure;0;10;  5;2010
Finding Nemo;Xbox		;63;7.4;Action Adventure;0;5;  9;2003
One Piece: Pirate Warriors 2;PlayStation 3;71;7.8;Action;1;9;  3;2013
Fist of the North Star: Ken's Rage;PlayStation 3;60;7.0;Action;0;11;  2;2010
Shrek: Hassle at the Castle;Game Boy Advance		;71;7.4;Action;1;10; 10;2002
Transformers: The Game;PSP		;47;5.4;Action Adventure;1;6; 19;2007
LEGO Dimensions;Wii U;62;6.4;Action Adventure;0;9; 27;2015
Sengoku Basara: Samurai Heroes;PlayStation 3;61;8.1;Action;0;10; 12;2010
X2: Wolverine's Revenge;PlayStation 2;58;7.4;Action Adventure;0;4; 14;2003
Dead Island: Riptide;PlayStation 3;62;6.0;Action;1;4; 23;2013
Onimusha: Dawn of Dreams;PlayStation 2;81;8.8;Action Adventure;1;3;  7;2006
LEGO Star Wars II: The Original Trilogy;Xbox 360;81;8.0;Action Adventure;1;9; 12;2006
Iron Man;PSP		;44;6.4;Action;0;5;  2;2008
The Lord of the Rings: Conquest;Xbox 360;55;7.0;Action Adventure;1;1; 13;2009
LEGO The Incredibles;Switch;65;7.3;Action Adventure;0;6; 15;2018
LEGO Pirates of the Caribbean: The Video Game;3DS;71;7.1;Action Adventure;0;5; 10;2011
Transformers: Revenge of the Fallen;Xbox 360;61;7.4;Action;1;6; 23;2009
Ghostbusters: The Video Game;Xbox 360;79;8.5;Action;1;6; 16;2009
Metal Gear Solid 2: Substance;Xbox		;87;8.4;Action Adventure;0;11;  4;2002
Warriors Orochi 3;PlayStation 3;70;7.9;Action;1;3; 20;2012
Red Dead Redemption 2;PlayStation 4;97;8.6;Action Adventure;1;10; 26;2018
Assassin's Creed III;PlayStation 3;85;6.9;Action Adventure;1;10; 30;2012
Red Dead Redemption 2;Xbox One;97;8.1;Action Adventure;1;10; 26;2018
Assassin's Creed III;Xbox 360;84;6.8;Action Adventure;1;10; 30;2012
Assassin's Creed IV: Black Flag;PlayStation 3;88;8.2;Action Adventure;1;10; 29;2013
Assassin's Creed IV: Black Flag;Xbox 360;86;8.0;Action Adventure;1;10; 29;2013
Assassin's Creed IV: Black Flag;PlayStation 4;83;7.9;Action Adventure;1;11; 12;2013
Assassin's Creed Odyssey;PlayStation 4;83;6.5;Action Adventure;0;10;  2;2018
Mafia III;PlayStation 4;68;5.3;Action Adventure;0;10;  7;2016
Far Cry Primal;PlayStation 4;76;6.7;Action;0;2; 23;2016
Kinect: Disneyland Adventures;Xbox 360;73;3.2;Action Adventure;0;11; 15;2011
Batman: Arkham Origins;PlayStation 3;76;7.8;Action Adventure;0;10; 25;2013
No Man's Sky;PlayStation 4;71;4.8;Action;0;8;  9;2016
Batman: Arkham Origins;Xbox 360;74;7.6;Action Adventure;0;10; 25;2013
Shadow of the Tomb Raider;PlayStation 4;75;7.3;Action Adventure;1;9; 12;2018
LEGO Batman 2: DC Super Heroes;Xbox 360;79;6.9;Action Adventure;0;6; 19;2012
Watch Dogs;Xbox One;78;6.1;Action Adventure;1;5; 27;2014
Assassin's Creed Odyssey;Xbox One;87;6.3;Action Adventure;0;10;  2;2018
The LEGO Movie Videogame;Xbox 360;69;7.5;Action Adventure;0;2;  7;2014
LEGO Star Wars: The Force Awakens;PlayStation 4;78;7.4;Action Adventure;0;6; 28;2016
LEGO Batman 2: DC Super Heroes;PlayStation 3;81;7.1;Action Adventure;0;6; 19;2012
Metal Gear Solid V: Ground Zeroes;PlayStation 4;75;6.4;Action Adventure;0;3; 18;2014
Shadow of the Colossus;PlayStation 4;91;7.8;Action Adventure;0;2;  6;2018
Mafia III;Xbox One;67;5.1;Action Adventure;0;10;  7;2016
Sleeping Dogs;PlayStation 3;83;7.7;Action Adventure;0;8; 14;2012
Far Cry Primal;Xbox One;77;6.7;Action;0;2; 23;2016
Tom Clancy's Splinter Cell: Blacklist;Xbox 360;82;7.6;Action Adventure;1;8; 20;2013
Tom Clancy's Splinter Cell: Blacklist;PlayStation 3;84;7.8;Action Adventure;1;8; 20;2013
The LEGO Movie Videogame;PlayStation 3;80;6.9;Action Adventure;0;2;  7;2014
Darksiders II;PlayStation 3;84;7.2;Action Adventure;0;8; 14;2012
Darksiders II;Xbox 360;83;8.2;Action Adventure;0;8; 14;2012
Shadow of the Tomb Raider;Xbox One;82;7.3;Action Adventure;1;9; 12;2018
PokePark 2: Wonders Beyond;Wii		;60;7.7;Action Adventure;0;2; 27;2012
Disney Infinity;Wii U;71;7.5;Action Adventure;1;8; 18;2013
The LEGO Movie Videogame;Xbox One;69;6.8;Action Adventure;0;2;  7;2014
Gravity Rush;PlayStation Vita;83;8.6;Action;0;6; 12;2012
Metroid: Samus Returns;3DS;85;8.7;Action;0;9; 15;2017
Just Cause 4;PlayStation 4;65;4.8;Action Adventure;0;12;  4;2018
Hitman 2;PlayStation 4;82;8.3;Action Adventure;1;11;  9;2018
Batman: Arkham Origins Blackgate;PlayStation Vita;61;6.8;Action;0;10; 25;2013
State of Decay 2;Xbox One;66;5.6;Action Adventure;1;5; 18;2018
LEGO DC Super-Villains;PlayStation 4;74;6.4;Action Adventure;0;10; 16;2018
Skylanders SuperChargers;PlayStation 4;81;3.8;Action;1;9; 20;2015
Terraria;PlayStation 3;81;8.1;Action;1;3; 26;2013
LEGO DC Super-Villains;Switch;75;7.6;Action Adventure;0;10; 16;2018
LEGO Harry Potter: Years 5-7;3DS;71;6.7;Action Adventure;0;11; 11;2011
Metal Gear Solid: Snake Eater 3D;3DS;78;7.9;Action Adventure;0;2; 21;2012
Assassin's Creed III;Wii U;85;7.3;Action Adventure;1;11; 18;2012
Gravity Rush 2;PlayStation 4;80;8.1;Action;0;1; 20;2017
LEGO Legends of Chima: Laval's Journey;3DS;65;6.4;Action;0;6; 25;2013
Murdered: Soul Suspect;PlayStation 4;59;6.9;Action;0;6;  3;2014
Batman: Arkham Origins;Wii U;68;7.6;Action Adventure;0;10; 25;2013
LEGO DC Super-Villains;Xbox One;72;6.2;Action Adventure;0;10; 16;2018
Assassin's Creed IV: Black Flag;Wii U;86;7.7;Action Adventure;1;10; 29;2013
Just Cause 4;Xbox One;70;5.7;Action Adventure;0;12;  4;2018
SIREN: Blood Curse;PlayStation 3;78;8.0;Action Adventure;0;7; 24;2008
Family Guy: Back to the Multiverse;PlayStation 3;40;6.3;Action;0;11; 20;2012
Batman: Arkham Origins Blackgate;3DS;68;7.0;Action;0;10; 25;2013
Robinson: The Journey;PlayStation 4;64;6.6;Action Adventure;0;11;  8;2016
ReCore;Xbox One;63;6.7;Action Adventure;0;9; 13;2016
Family Guy: Back to the Multiverse;Xbox 360;39;4.9;Action;0;11; 20;2012
Far Cry Primal;PC;74;6.0;Action;0;2; 29;2016
