,meta_game_name,meta_platform,meta_publisher,meta_release_date,meta_critic_score,meta_user_score,meta_esrb,meta_genre,meta_multiplayer,meta_full_url
191,"
God of War III Remastered
","

                                                        PlayStation 4
                                                    
","

                                                        SCEA
                                                    
","Jul 14, 2015",81,"
8.3
",M,Action Adventure,no,https://www.metacritic.com/game/playstation-4/god-of-war-iii-remastered
192,"
Finding Nemo
","
                                                        GameCube
                                    		    ","

                                                        THQ
                                                    
","May 12, 2003",62,"
5.4
",E,Action,no,https://www.metacritic.com/game/gamecube/finding-nemo
193,"
Resident Evil: Revelations
","

                                                        3DS
                                                    
","

                                                        Capcom
                                                    
","Feb  7, 2012",82,"
8.5
",M,Action Adventure,yes,https://www.metacritic.com/game/3ds/resident-evil-revelations
194,"
The Tomb Raider Trilogy
","

                                                        PlayStation 3
                                                    
","

                                                        Square Enix
                                                    
","Mar 22, 2011",78,"
8.4
",T,Miscellaneous,no,https://www.metacritic.com/game/playstation-3/the-tomb-raider-trilogy
195,"
Fortnite
","

                                                        PlayStation 4
                                                    
","

                                                        Epic Games
                                                    
					, 						
                                                        Gearbox Software
                                                    
					, 						
                                                        Gearbox Publishing
                                                    
","Jul 21, 2017",78,"
3.9
",T,Action,yes,https://www.metacritic.com/game/playstation-4/fortnite
196,"
Star Wars: The Force Unleashed
","
                                                        DS
                                    		    ","

                                                        LucasArts
                                                    
","Sep 16, 2008",61,"
5.5
",T,Action,yes,https://www.metacritic.com/game/ds/star-wars-the-force-unleashed
197,"
NBA 2K6
","

                                                        PlayStation 2
                                                    
","

                                                        2K Sports
                                                    
","Sep 26, 2005",84,"
8.3
",E,Sports,yes,https://www.metacritic.com/game/playstation-2/nba-2k6
198,"
LEGO Harry Potter Collection
","

                                                        PlayStation 4
                                                    
","

                                                        Warner Bros. Interactive Entertainment
                                                    
","Oct 18, 2016",73,"
7.6
",E10+,Miscellaneous,no,https://www.metacritic.com/game/playstation-4/lego-harry-potter-collection
199,"
Grand Theft Auto IV
","

                                                        PC
                                                    
","

                                                        Rockstar Games
                                                    
","Dec  2, 2008",90,"
7.0
",M,Action Adventure,no,https://www.metacritic.com/game/pc/grand-theft-auto-iv
200,"
Warriors Orochi
","

                                                        PlayStation 2
                                                    
","

                                                        Koei
                                                    
","Sep 18, 2007",55,"
8.4
",T,Action,yes,https://www.metacritic.com/game/playstation-2/warriors-orochi
